signal_id,timestamp,utc_hour,strategy,symbol,timeframe,mode,direction,grade,confidence,in_session,wme_signal,cvd_signal,in_lvn,entry_price,stop_loss,stop_pct,target_1,target_2,target_3,spot_qty,fut_qty_2x,fut_margin_2x,fut_qty_5x,fut_margin_5x,fut_qty_10x,fut_margin_10x,fut_qty_20x,fut_margin_20x,fut_qty_50x,fut_margin_50x,fut_qty_100x,fut_margin_100x,account_balance,balance_source,status,exit_price,exit_time,r_multiple,pnl_usdt,running_wins,running_losses,running_wr,running_equity,notes
SIG-001,2026-06-22T18:13:14.859721+00:00,18,ETH_B,ETHUSDT,15m,B,LONG,B,64.1000,True,True,NONE,False,1744.9200,1722.0712,1.3090,1746.1000,,,0.1469,0.0019,1.6800,0.0019,0.6700,0.0019,0.3400,0.0019,0.1700,0.0020,0.0700,0.0017,0.0300,167.8400,kucoin_futures,LOSS,1722.0712,,,,0,0,0.0000,1000.0000,
SIG-002,2026-06-26T18:48:23.313934+00:00,18,ETH_B,ETHUSDT,15m,B,SHORT,B,60.3000,True,True,NONE,False,1572.6700,1603.3799,1.9530,1561.8920,1547.5260,1525.3240,0.0983,0.0019,1.5100,0.0019,0.6000,0.0019,0.3000,0.0019,0.1500,0.0019,0.0600,0.0019,0.0300,150.9400,kucoin_futures,OPEN,,,,,0,1,0.0000,,
